=== Statistiques empiriques — Dataset UCI ===

Conso moyenne globale  : 1091 W  (26.2 kWh/j)
Pic moyen (heure)      : 2002 W  à 20.8h
Creux moyen (nuit)     : 434 W  à 3.9h

=== Profil μ(t) — minute par minute ===
minute;heure;puissance_W
157;2.6167;465.46
158;2.6333;465.36
159;2.6500;467.62
160;2.6667;472.58
161;2.6833;471.56
162;2.7000;467.08
163;2.7167;467.72
164;2.7333;474.05
165;2.7500;470.55
166;2.7667;470.87
167;2.7833;469.06
168;2.8000;472.64
169;2.8167;477.45
170;2.8333;470.53
171;2.8500;469.15
172;2.8667;466.48
173;2.8833;470.17
174;2.9000;470.11
175;2.9167;469.92
176;2.9333;465.06
177;2.9500;458.30
178;2.9667;457.77
179;2.9833;454.36
180;3.0000;454.23
181;3.0167;460.54
182;3.0333;458.30
183;3.0500;455.07
184;3.0667;453.66
185;3.0833;455.14
186;3.1000;448.60
187;3.1167;446.94
188;3.1333;444.17
189;3.1500;450.63
190;3.1667;453.62
191;3.1833;451.85
192;3.2000;447.41
193;3.2167;452.61
194;3.2333;457.82
195;3.2500;460.82
196;3.2667;464.29
197;3.2833;453.43
198;3.3000;448.24
199;3.3167;449.49
200;3.3333;447.14
201;3.3500;447.83
202;3.3667;445.14
203;3.3833;443.41
204;3.4000;442.35
205;3.4167;435.90
206;3.4333;434.90
207;3.4500;443.73
208;3.4667;444.10
209;3.4833;437.66
210;3.5000;435.13
211;3.5167;433.57
212;3.5333;438.82
213;3.5500;445.90
214;3.5667;447.04
215;3.5833;438.42
216;3.6000;439.46
217;3.6167;438.51
218;3.6333;434.95
219;3.6500;436.22
220;3.6667;435.99
221;3.6833;444.16
222;3.7000;445.42
223;3.7167;445.01
224;3.7333;445.72
225;3.7500;447.59
226;3.7667;448.13
227;3.7833;446.12
228;3.8000;440.94
229;3.8167;438.65
230;3.8333;438.32
231;3.8500;438.85
232;3.8667;442.13
233;3.8833;443.09
234;3.9000;434.76
235;3.9167;433.51
236;3.9333;433.89
237;3.9500;435.08
238;3.9667;438.77
239;3.9833;438.71
240;4.0000;437.47
241;4.0167;439.64
242;4.0333;442.69
243;4.0500;441.38
244;4.0667;445.80
245;4.0833;445.51
246;4.1000;444.70
247;4.1167;441.89
248;4.1333;440.01
249;4.1500;442.13
250;4.1667;446.81
251;4.1833;449.59
252;4.2000;446.90
253;4.2167;445.70
254;4.2333;446.96
255;4.2500;446.42
256;4.2667;443.25
257;4.2833;442.12
258;4.3000;444.34
259;4.3167;445.06
260;4.3333;445.43
261;4.3500;440.24
262;4.3667;436.03
263;4.3833;438.10
264;4.4000;438.05
265;4.4167;441.31
266;4.4333;438.28
267;4.4500;441.64
268;4.4667;447.07
269;4.4833;444.00
270;4.5000;440.94
271;4.5167;441.07
272;4.5333;441.68
273;4.5500;441.47
274;4.5667;444.46
275;4.5833;443.12
276;4.6000;443.63
277;4.6167;439.85
278;4.6333;446.20
279;4.6500;450.90
280;4.6667;450.50
281;4.6833;444.77
282;4.7000;444.33
283;4.7167;444.83
284;4.7333;442.99
285;4.7500;444.09
286;4.7667;442.53
287;4.7833;446.71
288;4.8000;449.94
289;4.8167;447.89
290;4.8333;444.57
291;4.8500;443.42
292;4.8667;446.41
293;4.8833;443.68
294;4.9000;447.46
295;4.9167;450.15
296;4.9333;448.88
297;4.9500;447.28
298;4.9667;442.65
299;4.9833;435.93
300;5.0000;435.71
301;5.0167;438.94
302;5.0333;442.15
303;5.0500;441.86
304;5.0667;442.25
305;5.0833;443.53
306;5.1000;447.92
307;5.1167;447.38
308;5.1333;445.96
309;5.1500;448.03
310;5.1667;453.50
311;5.1833;452.89
312;5.2000;453.57
313;5.2167;449.43
314;5.2333;452.04
315;5.2500;456.03
316;5.2667;455.60
317;5.2833;456.59
318;5.3000;453.22
319;5.3167;455.20
320;5.3333;459.73
321;5.3500;464.27
322;5.3667;464.60
323;5.3833;456.59
324;5.4000;451.95
325;5.4167;452.36
326;5.4333;454.40
327;5.4500;452.00
328;5.4667;455.13
329;5.4833;455.29
330;5.5000;455.77
331;5.5167;457.16
332;5.5333;450.55
333;5.5500;453.59
334;5.5667;452.66
335;5.5833;448.81
336;5.6000;454.11
337;5.6167;453.62
338;5.6333;456.16
339;5.6500;455.93
340;5.6667;451.07
341;5.6833;448.87
342;5.7000;450.99
343;5.7167;450.32
344;5.7333;451.88
345;5.7500;449.31
346;5.7667;451.86
347;5.7833;462.44
348;5.8000;459.07
349;5.8167;453.67
350;5.8333;450.40
351;5.8500;446.41
352;5.8667;445.67
353;5.8833;446.63
354;5.9000;453.37
355;5.9167;464.55
356;5.9333;472.87
357;5.9500;478.22
358;5.9667;477.28
359;5.9833;479.05
360;6.0000;481.61
361;6.0167;481.01
362;6.0333;486.47
363;6.0500;485.79
364;6.0667;488.31
365;6.0833;488.84
366;6.1000;487.97
367;6.1167;486.26
368;6.1333;489.43
369;6.1500;484.73
370;6.1667;482.73
371;6.1833;485.88
372;6.2000;489.30
373;6.2167;493.82
374;6.2333;489.06
375;6.2500;495.29
376;6.2667;505.03
377;6.2833;509.26
378;6.3000;510.78
379;6.3167;507.37
380;6.3333;509.58
381;6.3500;519.56
382;6.3667;532.87
383;6.3833;536.75
384;6.4000;539.75
385;6.4167;548.97
386;6.4333;563.77
387;6.4500;578.84
388;6.4667;588.26
389;6.4833;605.74
390;6.5000;622.07
391;6.5167;653.48
392;6.5333;682.43
393;6.5500;719.13
394;6.5667;752.68
395;6.5833;785.45
396;6.6000;812.08
397;6.6167;844.50
398;6.6333;865.27
399;6.6500;896.05
400;6.6667;924.97
401;6.6833;953.08
402;6.7000;984.79
403;6.7167;1014.91
404;6.7333;1030.81
405;6.7500;1071.65
406;6.7667;1110.43
407;6.7833;1159.63
408;6.8000;1214.37
409;6.8167;1246.98
410;6.8333;1275.07
411;6.8500;1304.63
412;6.8667;1343.75
413;6.8833;1360.80
414;6.9000;1390.41
415;6.9167;1408.31
416;6.9333;1429.91
417;6.9500;1432.81
418;6.9667;1427.15
419;6.9833;1425.76
420;7.0000;1406.18
421;7.0167;1403.85
422;7.0333;1399.89
423;7.0500;1388.71
424;7.0667;1378.69
425;7.0833;1392.30
426;7.1000;1405.05
427;7.1167;1400.10
428;7.1333;1384.74
429;7.1500;1376.21
430;7.1667;1390.02
431;7.1833;1392.77
432;7.2000;1386.20
433;7.2167;1391.84
434;7.2333;1391.20
435;7.2500;1397.68
436;7.2667;1407.62
437;7.2833;1414.40
438;7.3000;1428.23
439;7.3167;1432.42
440;7.3333;1433.01
441;7.3500;1445.49
442;7.3667;1445.05
443;7.3833;1438.44
444;7.4000;1431.03
445;7.4167;1434.20
446;7.4333;1436.36
447;7.4500;1453.67
448;7.4667;1472.02
449;7.4833;1489.17
450;7.5000;1503.00
451;7.5167;1512.99
452;7.5333;1527.18
453;7.5500;1527.46
454;7.5667;1541.96
455;7.5833;1552.89
456;7.6000;1560.20
457;7.6167;1573.13
458;7.6333;1589.41
459;7.6500;1587.73
460;7.6667;1580.38
461;7.6833;1588.93
462;7.7000;1594.25
463;7.7167;1613.04
464;7.7333;1621.86
465;7.7500;1627.01
466;7.7667;1614.70
467;7.7833;1623.48
468;7.8000;1625.11
469;7.8167;1635.30
470;7.8333;1633.05
471;7.8500;1634.89
472;7.8667;1625.88
473;7.8833;1623.24
474;7.9000;1617.32
475;7.9167;1615.41
476;7.9333;1596.44
477;7.9500;1583.73
478;7.9667;1577.50
479;7.9833;1578.93
480;8.0000;1562.03
481;8.0167;1554.67
482;8.0333;1547.33
483;8.0500;1526.19
484;8.0667;1517.81
485;8.0833;1500.59
486;8.1000;1499.94
487;8.1167;1510.56
488;8.1333;1505.53
489;8.1500;1516.27
490;8.1667;1488.72
491;8.1833;1490.69
492;8.2000;1493.51
493;8.2167;1489.52
494;8.2333;1484.34
495;8.2500;1480.17
496;8.2667;1482.49
497;8.2833;1477.79
498;8.3000;1470.24
499;8.3167;1474.20
500;8.3333;1478.26
501;8.3500;1469.59
502;8.3667;1468.03
503;8.3833;1470.47
504;8.4000;1463.56
505;8.4167;1462.66
506;8.4333;1466.18
507;8.4500;1460.26
508;8.4667;1450.43
509;8.4833;1459.27
510;8.5000;1463.79
511;8.5167;1466.52
512;8.5333;1461.51
513;8.5500;1458.20
514;8.5667;1452.85
515;8.5833;1444.96
516;8.6000;1449.14
517;8.6167;1451.52
518;8.6333;1451.63
519;8.6500;1463.71
520;8.6667;1451.30
521;8.6833;1439.65
522;8.7000;1427.99
523;8.7167;1429.44
524;8.7333;1439.04
525;8.7500;1430.98
526;8.7667;1429.04
527;8.7833;1433.14
528;8.8000;1441.95
529;8.8167;1431.21
530;8.8333;1435.01
531;8.8500;1424.19
532;8.8667;1426.75
533;8.8833;1416.14
534;8.9000;1399.06
535;8.9167;1400.50
536;8.9333;1385.30
537;8.9500;1388.87
538;8.9667;1381.50
539;8.9833;1364.92
540;9.0000;1364.22
541;9.0167;1369.12
542;9.0333;1367.18
543;9.0500;1370.11
544;9.0667;1360.09
545;9.0833;1360.28
546;9.1000;1352.37
547;9.1167;1343.49
548;9.1333;1347.04
549;9.1500;1347.29
550;9.1667;1343.34
551;9.1833;1340.88
552;9.2000;1332.50
553;9.2167;1329.89
554;9.2333;1328.77
555;9.2500;1328.83
556;9.2667;1329.64
557;9.2833;1331.97
558;9.3000;1341.28
559;9.3167;1333.17
560;9.3333;1334.18
561;9.3500;1336.08
562;9.3667;1340.04
563;9.3833;1335.56
564;9.4000;1317.21
565;9.4167;1319.61
566;9.4333;1325.16
567;9.4500;1328.23
568;9.4667;1314.49
569;9.4833;1323.58
570;9.5000;1322.70
571;9.5167;1318.43
572;9.5333;1313.40
573;9.5500;1319.79
574;9.5667;1329.16
575;9.5833;1348.89
576;9.6000;1340.41
577;9.6167;1352.32
578;9.6333;1356.81
579;9.6500;1345.70
580;9.6667;1345.39
581;9.6833;1349.80
582;9.7000;1345.72
583;9.7167;1336.48
584;9.7333;1335.19
585;9.7500;1333.28
586;9.7667;1341.42
587;9.7833;1351.01
588;9.8000;1341.05
589;9.8167;1337.60
590;9.8333;1319.04
591;9.8500;1311.61
592;9.8667;1306.40
593;9.8833;1296.96
594;9.9000;1296.32
595;9.9167;1288.52
596;9.9333;1281.95
597;9.9500;1281.66
598;9.9667;1280.18
599;9.9833;1275.86
600;10.0000;1282.93
601;10.0167;1282.22
602;10.0333;1273.02
603;10.0500;1277.83
604;10.0667;1279.71
605;10.0833;1288.40
606;10.1000;1286.92
607;10.1167;1288.77
608;10.1333;1287.01
609;10.1500;1295.28
610;10.1667;1298.16
611;10.1833;1300.16
612;10.2000;1302.18
613;10.2167;1309.18
614;10.2333;1299.96
615;10.2500;1292.55
616;10.2667;1284.55
617;10.2833;1274.77
618;10.3000;1270.12
619;10.3167;1271.49
620;10.3333;1268.99
621;10.3500;1275.03
622;10.3667;1264.74
623;10.3833;1268.69
624;10.4000;1262.70
625;10.4167;1266.01
626;10.4333;1264.08
627;10.4500;1279.45
628;10.4667;1264.16
629;10.4833;1263.17
630;10.5000;1257.88
631;10.5167;1260.20
632;10.5333;1261.40
633;10.5500;1259.46
634;10.5667;1260.83
635;10.5833;1256.30
636;10.6000;1249.61
637;10.6167;1239.78
638;10.6333;1243.86
639;10.6500;1238.27
640;10.6667;1239.92
641;10.6833;1245.54
642;10.7000;1243.48
643;10.7167;1241.46
644;10.7333;1246.95
645;10.7500;1243.40
646;10.7667;1244.53
647;10.7833;1244.57
648;10.8000;1246.62
649;10.8167;1228.24
650;10.8333;1226.37
651;10.8500;1221.19
652;10.8667;1222.76
653;10.8833;1231.03
654;10.9000;1223.19
655;10.9167;1213.96
656;10.9333;1216.68
657;10.9500;1227.94
658;10.9667;1232.91
659;10.9833;1246.80
660;11.0000;1244.23
661;11.0167;1247.10
662;11.0333;1243.58
663;11.0500;1246.68
664;11.0667;1233.28
665;11.0833;1220.99
666;11.1000;1223.67
667;11.1167;1223.61
668;11.1333;1232.66
669;11.1500;1228.97
670;11.1667;1228.94
671;11.1833;1221.96
672;11.2000;1230.85
673;11.2167;1228.96
674;11.2333;1235.74
675;11.2500;1244.55
676;11.2667;1239.62
677;11.2833;1242.06
678;11.3000;1246.53
679;11.3167;1253.65
680;11.3333;1253.71
681;11.3500;1247.40
682;11.3667;1245.25
683;11.3833;1242.59
684;11.4000;1244.50
685;11.4167;1251.11
686;11.4333;1250.71
687;11.4500;1251.08
688;11.4667;1245.43
689;11.4833;1244.16
690;11.5000;1249.49
691;11.5167;1253.28
692;11.5333;1262.65
693;11.5500;1253.99
694;11.5667;1242.76
695;11.5833;1232.00
696;11.6000;1242.57
697;11.6167;1242.26
698;11.6333;1249.76
699;11.6500;1247.93
700;11.6667;1255.21
701;11.6833;1245.61
702;11.7000;1248.23
703;11.7167;1263.05
704;11.7333;1261.15
705;11.7500;1258.95
706;11.7667;1252.38
707;11.7833;1256.49
708;11.8000;1257.77
709;11.8167;1256.99
710;11.8333;1271.41
711;11.8500;1259.74
712;11.8667;1258.68
713;11.8833;1267.33
714;11.9000;1262.03
715;11.9167;1257.81
716;11.9333;1237.56
717;11.9500;1228.44
718;11.9667;1240.75
719;11.9833;1239.41
720;12.0000;1236.94
721;12.0167;1242.06
722;12.0333;1236.24
723;12.0500;1234.13
724;12.0667;1243.67
725;12.0833;1238.67
726;12.1000;1235.10
727;12.1167;1232.33
728;12.1333;1234.96
729;12.1500;1236.45
730;12.1667;1231.32
731;12.1833;1225.80
732;12.2000;1233.15
733;12.2167;1242.56
734;12.2333;1241.58
735;12.2500;1237.57
736;12.2667;1237.68
737;12.2833;1252.58
738;12.3000;1236.51
739;12.3167;1236.68
740;12.3333;1234.45
741;12.3500;1230.86
742;12.3667;1228.73
743;12.3833;1227.11
744;12.4000;1207.04
745;12.4167;1196.37
746;12.4333;1196.10
747;12.4500;1203.93
748;12.4667;1200.91
749;12.4833;1199.91
750;12.5000;1199.02
751;12.5167;1202.81
752;12.5333;1209.58
753;12.5500;1196.00
754;12.5667;1175.89
755;12.5833;1180.34
756;12.6000;1181.22
757;12.6167;1189.34
758;12.6333;1186.33
759;12.6500;1182.98
760;12.6667;1186.02
761;12.6833;1183.77
762;12.7000;1177.15
763;12.7167;1171.13
764;12.7333;1189.45
765;12.7500;1195.36
766;12.7667;1197.92
767;12.7833;1183.54
768;12.8000;1176.19
769;12.8167;1167.23
770;12.8333;1180.01
771;12.8500;1189.33
772;12.8667;1178.28
773;12.8833;1187.79
774;12.9000;1195.07
775;12.9167;1186.54
776;12.9333;1185.21
777;12.9500;1167.46
778;12.9667;1176.90
779;12.9833;1175.34
780;13.0000;1163.68
781;13.0167;1170.89
782;13.0333;1171.44
783;13.0500;1163.38
784;13.0667;1164.66
785;13.0833;1166.49
786;13.1000;1180.73
787;13.1167;1163.67
788;13.1333;1171.60
789;13.1500;1168.44
790;13.1667;1161.33
791;13.1833;1162.79
792;13.2000;1158.78
793;13.2167;1152.71
794;13.2333;1148.55
795;13.2500;1135.99
796;13.2667;1121.05
797;13.2833;1129.26
798;13.3000;1125.15
799;13.3167;1135.48
800;13.3333;1148.42
801;13.3500;1160.67
802;13.3667;1157.05
803;13.3833;1155.89
804;13.4000;1147.61
805;13.4167;1157.99
806;13.4333;1157.16
807;13.4500;1161.77
808;13.4667;1159.21
809;13.4833;1154.60
810;13.5000;1151.27
811;13.5167;1152.14
812;13.5333;1162.27
813;13.5500;1154.75
814;13.5667;1149.80
815;13.5833;1142.88
816;13.6000;1143.75
817;13.6167;1135.70
818;13.6333;1141.41
819;13.6500;1130.28
820;13.6667;1135.91
821;13.6833;1123.68
822;13.7000;1113.41
823;13.7167;1108.25
824;13.7333;1112.80
825;13.7500;1110.53
826;13.7667;1131.40
827;13.7833;1125.99
828;13.8000;1132.39
829;13.8167;1129.14
830;13.8333;1131.24
831;13.8500;1126.66
832;13.8667;1127.83
833;13.8833;1131.47
834;13.9000;1133.05
835;13.9167;1134.88
836;13.9333;1132.78
837;13.9500;1126.39
838;13.9667;1132.44
839;13.9833;1131.27
840;14.0000;1134.78
841;14.0167;1126.21
842;14.0333;1128.23
843;14.0500;1130.48
844;14.0667;1131.13
845;14.0833;1142.22
846;14.1000;1125.00
847;14.1167;1124.16
848;14.1333;1137.13
849;14.1500;1133.77
850;14.1667;1125.74
851;14.1833;1120.88
852;14.2000;1131.20
853;14.2167;1130.85
854;14.2333;1110.30
855;14.2500;1111.60
856;14.2667;1109.62
857;14.2833;1109.04
858;14.3000;1096.60
859;14.3167;1074.47
860;14.3333;1073.65
861;14.3500;1085.02
862;14.3667;1084.28
863;14.3833;1090.16
864;14.4000;1091.52
865;14.4167;1071.88
866;14.4333;1079.21
867;14.4500;1078.75
868;14.4667;1075.71
869;14.4833;1067.41
870;14.5000;1064.57
871;14.5167;1072.61
872;14.5333;1067.68
873;14.5500;1066.66
874;14.5667;1072.48
875;14.5833;1057.29
876;14.6000;1047.54
877;14.6167;1067.28
878;14.6333;1067.67
879;14.6500;1070.01
880;14.6667;1071.13
881;14.6833;1058.96
882;14.7000;1056.56
883;14.7167;1044.52
884;14.7333;1036.41
885;14.7500;1039.30
886;14.7667;1031.67
887;14.7833;1058.70
888;14.8000;1058.26
889;14.8167;1076.06
890;14.8333;1061.65
891;14.8500;1062.18
892;14.8667;1064.88
893;14.8833;1050.24
894;14.9000;1055.25
895;14.9167;1058.65
896;14.9333;1050.06
897;14.9500;1050.71
898;14.9667;1050.30
899;14.9833;1050.45
900;15.0000;1040.22
901;15.0167;1035.94
902;15.0333;1034.09
903;15.0500;1036.21
904;15.0667;1035.56
905;15.0833;1029.52
906;15.1000;1028.58
907;15.1167;1029.51
908;15.1333;1040.64
909;15.1500;1038.29
910;15.1667;1040.31
911;15.1833;1036.57
912;15.2000;1027.27
913;15.2167;1017.95
914;15.2333;1019.74
915;15.2500;1025.22
916;15.2667;1023.17
917;15.2833;1026.06
918;15.3000;1026.12
919;15.3167;1017.24
920;15.3333;1001.62
921;15.3500;996.92
922;15.3667;983.17
923;15.3833;985.81
924;15.4000;984.97
925;15.4167;989.69
926;15.4333;987.63
927;15.4500;984.87
928;15.4667;981.66
929;15.4833;988.24
930;15.5000;981.93
931;15.5167;979.45
932;15.5333;981.75
933;15.5500;976.35
934;15.5667;977.16
935;15.5833;982.33
936;15.6000;990.80
937;15.6167;986.52
938;15.6333;991.18
939;15.6500;980.97
940;15.6667;976.60
941;15.6833;965.12
942;15.7000;965.31
943;15.7167;968.49
944;15.7333;967.40
945;15.7500;971.59
946;15.7667;970.03
947;15.7833;957.01
948;15.8000;950.53
949;15.8167;942.52
950;15.8333;940.76
951;15.8500;937.44
952;15.8667;948.83
953;15.8833;944.95
954;15.9000;949.88
955;15.9167;948.46
956;15.9333;950.26
957;15.9500;949.65
958;15.9667;964.29
959;15.9833;955.23
960;16.0000;962.66
961;16.0167;961.87
962;16.0333;961.08
963;16.0500;956.29
964;16.0667;961.41
965;16.0833;968.91
966;16.1000;975.66
967;16.1167;960.48
968;16.1333;957.68
969;16.1500;952.09
970;16.1667;948.93
971;16.1833;950.32
972;16.2000;937.19
973;16.2167;933.20
974;16.2333;937.68
975;16.2500;938.42
976;16.2667;930.70
977;16.2833;927.95
978;16.3000;923.72
979;16.3167;926.95
980;16.3333;933.69
981;16.3500;929.20
982;16.3667;934.50
983;16.3833;949.22
984;16.4000;944.04
985;16.4167;941.06
986;16.4333;946.10
987;16.4500;945.79
988;16.4667;943.49
989;16.4833;937.23
990;16.5000;929.54
991;16.5167;936.12
992;16.5333;933.09
993;16.5500;941.82
994;16.5667;946.86
995;16.5833;955.78
996;16.6000;943.51
997;16.6167;944.47
998;16.6333;946.12
999;16.6500;953.40
1000;16.6667;959.61
1001;16.6833;954.27
1002;16.7000;942.22
1003;16.7167;933.71
1004;16.7333;941.14
1005;16.7500;940.00
1006;16.7667;946.89
1007;16.7833;944.61
1008;16.8000;952.81
1009;16.8167;951.55
1010;16.8333;943.68
1011;16.8500;946.77
1012;16.8667;959.63
1013;16.8833;964.50
1014;16.9000;966.14
1015;16.9167;970.24
1016;16.9333;971.80
1017;16.9500;973.91
1018;16.9667;977.01
1019;16.9833;985.80
1020;17.0000;972.04
1021;17.0167;980.36
1022;17.0333;981.69
1023;17.0500;990.15
1024;17.0667;985.29
1025;17.0833;984.61
1026;17.1000;984.01
1027;17.1167;975.82
1028;17.1333;976.01
1029;17.1500;980.15
1030;17.1667;981.49
1031;17.1833;976.80
1032;17.2000;980.92
1033;17.2167;984.07
1034;17.2333;993.97
1035;17.2500;996.16
1036;17.2667;1000.49
1037;17.2833;999.91
1038;17.3000;1003.85
1039;17.3167;1013.04
1040;17.3333;1024.77
1041;17.3500;1029.16
1042;17.3667;1043.49
1043;17.3833;1050.13
1044;17.4000;1052.56
1045;17.4167;1061.28
1046;17.4333;1060.84
1047;17.4500;1066.46
1048;17.4667;1050.63
1049;17.4833;1053.03
1050;17.5000;1050.94
1051;17.5167;1058.32
1052;17.5333;1053.68
1053;17.5500;1052.33
1054;17.5667;1062.32
1055;17.5833;1070.16
1056;17.6000;1069.80
1057;17.6167;1077.54
1058;17.6333;1079.67
1059;17.6500;1085.78
1060;17.6667;1085.11
1061;17.6833;1077.15
1062;17.7000;1084.19
1063;17.7167;1092.97
1064;17.7333;1095.25
1065;17.7500;1105.97
1066;17.7667;1104.30
1067;17.7833;1102.89
1068;17.8000;1110.76
1069;17.8167;1112.92
1070;17.8333;1125.09
1071;17.8500;1128.88
1072;17.8667;1131.38
1073;17.8833;1143.19
1074;17.9000;1145.04
1075;17.9167;1155.99
1076;17.9333;1150.13
1077;17.9500;1144.75
1078;17.9667;1152.72
1079;17.9833;1163.20
1080;18.0000;1165.44
1081;18.0167;1172.21
1082;18.0333;1172.88
1083;18.0500;1185.08
1084;18.0667;1196.32
1085;18.0833;1202.44
1086;18.1000;1207.95
1087;18.1167;1214.36
1088;18.1333;1216.43
1089;18.1500;1209.65
1090;18.1667;1203.46
1091;18.1833;1209.95
1092;18.2000;1208.18
1093;18.2167;1223.51
1094;18.2333;1232.66
1095;18.2500;1229.83
1096;18.2667;1227.06
1097;18.2833;1230.80
1098;18.3000;1240.54
1099;18.3167;1237.07
1100;18.3333;1239.95
1101;18.3500;1252.76
1102;18.3667;1250.49
1103;18.3833;1249.66
1104;18.4000;1260.29
1105;18.4167;1262.67
1106;18.4333;1258.61
1107;18.4500;1262.41
1108;18.4667;1268.30
1109;18.4833;1282.06
1110;18.5000;1290.35
1111;18.5167;1303.35
1112;18.5333;1318.03
1113;18.5500;1341.58
1114;18.5667;1343.77
1115;18.5833;1337.26
1116;18.6000;1352.87
1117;18.6167;1357.64
1118;18.6333;1360.59
1119;18.6500;1367.87
1120;18.6667;1373.41
1121;18.6833;1373.57
1122;18.7000;1385.50
1123;18.7167;1403.44
1124;18.7333;1420.84
1125;18.7500;1426.35
1126;18.7667;1422.12
1127;18.7833;1416.46
1128;18.8000;1433.91
1129;18.8167;1459.48
1130;18.8333;1489.01
1131;18.8500;1505.88
1132;18.8667;1502.99
1133;18.8833;1509.75
1134;18.9000;1521.75
1135;18.9167;1547.92
1136;18.9333;1558.90
1137;18.9500;1560.18
1138;18.9667;1560.59
1139;18.9833;1567.70
1140;19.0000;1583.34
1141;19.0167;1593.26
1142;19.0333;1594.31
1143;19.0500;1613.09
1144;19.0667;1627.69
1145;19.0833;1630.96
1146;19.1000;1624.45
1147;19.1167;1627.80
1148;19.1333;1621.92
1149;19.1500;1638.19
1150;19.1667;1663.41
1151;19.1833;1681.38
1152;19.2000;1690.91
1153;19.2167;1689.74
1154;19.2333;1709.92
1155;19.2500;1702.85
1156;19.2667;1706.96
1157;19.2833;1729.30
1158;19.3000;1749.28
1159;19.3167;1744.43
1160;19.3333;1751.52
1161;19.3500;1756.04
1162;19.3667;1775.79
1163;19.3833;1788.66
1164;19.4000;1803.76
1165;19.4167;1816.74
1166;19.4333;1794.22
1167;19.4500;1779.33
1168;19.4667;1772.69
1169;19.4833;1783.14
1170;19.5000;1787.13
1171;19.5167;1806.65
1172;19.5333;1803.51
